,fit,lwr,upr,
92,8.662088894,8.54666873,8.777509058,5779.595023
93,8.468581639,8.369626229,8.56753705,4762.755372
94,8.515387251,8.333488243,8.697286259,4990.978448
95,7.933594583,7.837979707,8.029209458,2789.435662
96,10.1423233,9.991333047,10.29331356,25395.39924
97,7.886582128,7.777594686,7.995569571,2661.332266
98,9.003517644,8.883827312,9.123207975,8131.637881
99,9.551567344,9.409832633,9.693302054,14066.72479
100,7.915642589,7.812978825,8.018306353,2739.806534
101,8.567331891,8.467801283,8.666862499,5257.084588
102,8.530266547,8.420566354,8.63996674,5065.79593
103,7.858330931,7.75820799,7.958453872,2587.198557
104,7.82625352,7.725174808,7.927332233,2505.52487
105,8.485124379,8.379521388,8.590727371,4842.199697
106,7.850155585,7.76283302,7.937478151,2566.133539
107,8.490914269,8.387863454,8.593965084,4870.316818
108,7.795219593,7.687791894,7.902647292,2428.962749
109,9.215647752,9.110037296,9.321258208,10053.21489
110,10.12396828,10.01010679,10.23782977,24933.51794
111,8.05055948,7.932896045,8.168222916,3135.548758
112,9.18486309,9.086543169,9.28318301,9748.44525
113,8.060919637,7.957731867,8.164107408,3168.202392
114,7.92659776,7.813946952,8.039248567,2769.986595
115,8.608260705,8.509545282,8.706976127,5476.714765
116,7.882995389,7.779403781,7.986586997,2651.80386
117,7.795453917,7.682289503,7.908618331,2429.53198
118,8.565205733,8.467832364,8.662579102,5245.919068
119,8.972039103,8.853009703,9.091068503,7879.652658
120,7.907384471,7.815047563,7.999721378,2717.274054
121,8.568835411,8.475775282,8.661895541,5264.994664
122,7.925185267,7.844650087,8.005720447,2766.07677
123,8.572144061,8.392719304,8.751568818,5282.443539
124,8.516148571,8.401423227,8.630873914,4994.779624
125,8.398833062,8.282414511,8.515251612,4441.880321
126,8.647021785,8.532355419,8.76168815,5693.165985
127,7.951712915,7.847671385,8.055754445,2840.436211
128,9.620043405,9.500866952,9.739219857,15063.70376
129,9.153639449,9.056492706,9.250786192,9448.76618
130,7.889226927,7.778307219,8.000146636,2668.380271
131,8.621980695,8.524160227,8.719801163,5552.373067
132,8.580379197,8.459372221,8.701386172,5326.124791
133,8.497678113,8.414310673,8.581045553,4903.37054
134,8.557695498,8.450829028,8.664561968,5206.668558
135,8.09544245,7.965507453,8.225377448,3279.487536
136,8.498192877,8.407037374,8.58934838,4905.895268
137,7.956841409,7.866970234,8.046712584,2855.04079
138,8.586212755,8.490879611,8.681545898,5357.285851
139,10.2596162,10.13884623,10.38038617,28555.82435
140,8.722791696,8.593206323,8.85237707,6141.299823
141,8.94462772,8.828005736,9.061249704,7666.593939
142,8.511031887,8.431564213,8.590499562,4969.288189
143,8.577670777,8.459786003,8.695555551,5311.718928
144,8.327571688,8.208815999,8.446327378,4136.360973
145,8.375340167,8.255348356,8.495331979,4338.743927
146,7.933757415,7.81492259,8.05259224,2789.88991
147,7.950564912,7.843762455,8.05736737,2837.177255
148,9.13721172,9.036733224,9.237690216,9294.812426
149,9.113919788,9.024982386,9.20285719,9080.820111
150,7.79686649,7.703573802,7.890159178,2432.966296
151,8.592912541,8.480953399,8.704871684,5393.299027
152,8.388372385,8.278347,8.498397771,4395.657432
153,8.595710901,8.471466394,8.719955409,5408.412558
154,9.059569885,8.907838838,9.211300931,8600.450672
155,9.63722307,9.530662658,9.743783482,15324.72889
156,9.946408031,9.829312905,10.06350316,20877.09766
157,8.381855001,8.213298753,8.550411249,4367.102396
158,8.547606441,8.455998189,8.639214694,5154.402286
159,8.500952289,8.388704965,8.613199612,4919.451347
160,8.988013637,8.85141357,9.124613704,8006.537201
161,8.57919616,8.456660361,8.70173196,5319.827517
162,7.98972423,7.89642357,8.08302489,2950.483193
163,9.064951034,8.945405977,9.184496092,8646.85573
164,7.957337941,7.870327277,8.044348605,2856.45876
165,8.551187825,8.430217657,8.672157992,5172.895272
166,7.81709961,7.707318949,7.92688027,2482.694173
167,8.512898648,8.404380991,8.621416306,4978.573327
168,9.023538609,8.92167783,9.125399387,8296.081789
169,9.082535979,8.979583458,9.185488499,8800.255014
170,8.570521657,8.474190884,8.66685243,5273.880229
171,7.725719709,7.614283362,7.837156057,2265.882778
172,8.033935265,7.909180786,8.158689745,3083.853608
173,9.089319169,8.989446721,9.189191618,8860.151736
174,8.662034866,8.559364072,8.764705659,5779.28277
175,7.843554219,7.754792495,7.932315942,2549.249341
176,7.803745314,7.692203299,7.915287329,2449.759937
177,8.400966865,8.300588805,8.501344925,4451.36854
178,9.093771553,8.99058192,9.196961187,8899.688485
179,7.808824983,7.69550295,7.922147016,2462.235567
180,8.505473746,8.396461705,8.614485787,4941.744799
181,8.820466761,8.620532058,9.020401464,6771.424525
182,7.909642131,7.806227447,8.013056815,2723.415666
183,8.612529249,8.493495272,8.731563226,5500.142329
184,8.01377996,7.930238874,8.097321047,3022.319797
185,7.844343302,7.745203159,7.943483446,2551.261706
186,7.875976441,7.779731017,7.972221864,2633.256154
187,8.414725012,8.290720989,8.538729034,4513.034352
188,9.80220944,9.687831839,9.916587042,18073.63346
189,8.554809526,8.430811994,8.678807059,5191.663921
190,8.066592363,7.964678563,8.168506163,3186.225807
191,8.608914159,8.49305165,8.724776667,5480.294715
192,8.496556756,8.391325585,8.601787927,4897.875193
193,8.592905444,8.475023784,8.710787104,5393.26075
194,7.88544445,7.775026589,7.99586231,2658.306247
195,8.416662902,8.29864863,8.534677174,4521.788598
196,7.872486346,7.779312104,7.965660589,2624.081861
197,7.999462658,7.88086201,8.118063305,2979.356623
198,10.13686198,9.990349168,10.2833748,25257.08482
199,8.418319514,8.319641688,8.51699734,4529.285655
200,8.007212643,7.905021294,8.109403993,3002.536298
201,8.021724811,7.922493153,8.120956469,3046.427315
202,8.560033999,8.449517388,8.670550609,5218.858603
203,7.925786283,7.82170726,8.029865307,2767.739728
204,8.463749,8.375729454,8.551768545,4739.794218
205,8.593596731,8.482330558,8.704862904,5396.990329
206,9.871674136,9.72381869,10.01952958,19373.74613
207,10.31999443,10.18980645,10.45018241,30333.08862
208,8.521460157,8.422219791,8.620700522,5021.380408
209,8.420118976,8.306118652,8.5341193,4537.443271
210,8.519760382,8.40918357,8.630337195,5012.852444
211,7.932437292,7.849004515,8.015870068,2786.20934
212,7.85923566,7.760427308,7.958044012,2589.54033
213,7.838663649,7.707696824,7.969630473,2536.812495
214,8.725464431,8.616899929,8.834028932,6157.735841
215,8.959595664,8.851915455,9.067275873,7782.210196
216,9.174673248,9.052844836,9.296501659,9649.614524
217,8.503055219,8.406470352,8.599640085,4929.807495
218,8.005171704,7.890920405,8.119423002,2996.414552
219,7.912664508,7.817945439,8.007383577,2731.659306
220,8.471182273,8.359851951,8.582512595,4775.157672
221,8.588290218,8.477240346,8.69934009,5368.426983
222,8.570283641,8.4268411,8.713726182,5272.62511
223,9.166925175,9.039368936,9.294481415,9575.13751
224,8.456820935,8.342554972,8.571086898,4707.070105
225,8.430176644,8.331680682,8.528672606,4583.309636
226,8.575304201,8.497687369,8.652921032,5299.163201
227,7.977094546,7.874946931,8.07924216,2913.453848
228,7.744866713,7.564276015,7.92545741,2309.685652
229,7.900292964,7.81086763,7.989718297,2698.07265
230,8.310539444,8.193888757,8.427190131,4066.506045
231,10.10701802,10.00120361,10.21283243,24514.45002
232,8.607545151,8.505340758,8.709749545,5472.797284
233,8.514015447,8.406810971,8.621219924,4984.136499
234,9.271041246,9.127617395,9.414465097,10625.81021
235,7.986305075,7.868015775,8.104594375,2940.412261
236,7.865623992,7.766951341,7.964296644,2606.136127
237,8.104180563,8.000130679,8.208230446,3308.269634
238,8.573792031,8.476157133,8.671426929,5291.156024
239,8.49942142,8.408007214,8.590835626,4911.926074
240,8.487348993,8.396292811,8.578405174,4852.983709
241,8.443259134,8.335351951,8.551166316,4643.664673
242,9.147806159,9.027056905,9.268555413,9393.809231
243,9.117008006,8.995136896,9.238879117,9108.907011
244,8.453565614,8.336413673,8.570717554,4691.771993
245,9.250665501,9.130944456,9.370386547,10411.49227
246,7.960640171,7.847838619,8.073441722,2865.907036
247,8.530965597,8.430000531,8.631930662,5069.338408
248,8.506570074,8.368675471,8.644464677,4947.165544
249,9.024055804,8.900125773,9.147985834,8300.37359
250,7.88890159,7.768240673,8.009562508,2667.512289
251,8.987264246,8.873967718,9.100560774,8000.539421
252,9.578605137,9.443138596,9.714071678,14452.24633
253,8.48768666,8.361963271,8.613410049,4854.62268
254,9.675729711,9.539441003,9.812018418,15926.34142
255,7.926427685,7.813493114,8.039362256,2769.51553
256,7.692182627,7.558233454,7.8261318,2191.151813
257,7.898722225,7.796376919,8.001067531,2693.838008
258,8.619903482,8.517645419,8.722161544,5540.851573
259,9.540399703,9.406749772,9.674049635,13910.50659
260,7.914453328,7.809292756,8.0196139,2736.550126
261,9.145607827,9.032612403,9.25860325,9373.181201
262,9.636763028,9.495361399,9.778164656,15317.68049
263,8.440611639,8.350483084,8.530740194,4631.386856
264,7.859072487,7.757352692,7.960792283,2589.117822
265,7.937816813,7.823935104,8.051698522,2801.238201
266,7.94144855,7.845128971,8.037768129,2811.430057
267,8.031499142,7.932881546,8.130116738,3076.350104
268,8.503749305,8.393273597,8.614225014,4933.230397
269,9.123898055,9.020931144,9.226864967,9171.884535
270,9.706077205,9.599421559,9.812732851,16417.07457
271,8.505836258,8.391234423,8.620438094,4943.536568
272,8.521044994,8.42759736,8.614492628,5019.296151
273,9.238030474,9.14796588,9.328095069,10280.77036
274,8.522786982,8.435161624,8.61041234,5028.047325
275,8.497853973,8.316882114,8.678825833,4904.232925
276,8.518785067,8.42571687,8.611853263,5007.965715
277,8.502994954,8.414379739,8.59161017,4929.510413
278,8.052747236,7.945161048,8.160333423,3142.416081
279,8.026963738,7.924757812,8.129169663,3062.429204
280,8.617513383,8.497698747,8.737328018,5527.624205
281,7.886348233,7.787276989,7.985419477,2660.709865
282,8.391646776,8.280921365,8.502372187,4410.074121
283,8.467778167,8.361496219,8.574060115,4758.930168
284,7.898574577,7.789198074,8.00795108,2693.440299
285,8.562256815,8.460809965,8.663703665,5230.472069
286,9.560472051,9.441129636,9.679814466,14192.54422
287,7.944751602,7.832965284,8.05653792,2820.73171
288,8.538635928,8.41799689,8.659274966,5108.371422
289,7.834173822,7.75018553,7.918162114,2525.448178
290,8.461707254,8.353455041,8.569959468,4730.126637
291,7.885977482,7.788912225,7.983042738,2659.723587
292,9.014995367,8.920403717,9.109587016,8225.508247
293,7.930050037,7.819582219,8.040517855,2779.565882
294,9.051233015,8.947535583,9.154930447,8529.047887
295,7.939752602,7.836040482,8.043464721,2806.666058
296,7.886800397,7.769164823,8.004435972,2661.913216
297,9.160731317,9.007624514,9.313838121,9516.01376
298,8.489664698,8.389008182,8.590321214,4864.234813
299,7.930316759,7.834605908,8.02602761,2780.307354
300,8.094931104,7.995573491,8.194288717,3277.811011
